DPSF,SquareFeet,SalePrice,LotSize,Bedrooms,Bathrooms,YearBuilt,GarageSpaces
215,1800,387000,8200,3,2,2005,2
198,2200,435600,9500,4,2.5,1998,2
225,1600,360000,7800,3,2,2012,1
190,2400,456000,10200,4,3,1995,3
210,1850,388500,8600,3,2.5,2008,2
185,2600,481000,11000,5,3,1990,3
230,1550,356500,7500,3,2,2015,2
200,2100,420000,9800,4,2.5,2000,2
195,2150,419250,10000,4,2,1997,2
220,1700,374000,8000,3,2,2010,1
205,1900,389500,8700,3,2.5,2003,2
180,2700,486000,11500,5,3,1988,3
235,1500,352500,7400,3,2,2018,2
195,2000,390000,9700,4,2.5,1999,2
200,1950,390000,9200,4,2,2001,2
225,1650,371250,7900,3,2,2013,2
210,1800,378000,8500,3,2.5,2006,2
190,2500,475000,10800,5,3,1993,3
240,1400,336000,7300,3,2,2020,2
185,2550,471750,11200,4,2.5,1985,2
